id;char;pinyin;translation;hsk_level
200;课本;kè běn;textbook;1
201;课文;kè wén;text;1
202;口;kǒu;mouth;1
203;块;kuài;piece (measure word);1
204;快;kuài;fast;1
205;来;lái;come;1
206;来到;lái dào;come to;1
207;老;lǎo;old;1
208;老人;lǎo rén;old people;1
209;老师;lǎo shī;teacher;1
210;了;le;already;1
211;累;lèi;tired;1
212;冷;lěng;cold;1
213;里;lǐ;in;1
214;里边;lǐ bian;inside;1
215;两;liǎng;two;1
216;零;líng;zero;1
217;六;liù;six;1
218;楼;lóu;floor;1
219;楼上;lóu shàng;upstairs;1
220;楼下;lóu xià;downstairs;1
221;路;lù;road;1
222;路口;lù kǒu;intersection;1
223;路上;lù shang;on the road;1
224;妈妈;mā ma;mother;1
225;马路;mǎ lù;road;1
226;马上;mǎ shàng;immediately;1
227;吗;ma;is it;1
228;买;mǎi;buy;1
229;慢;màn;slow;1
230;忙;máng;busy;1
231;毛;máo;(measure word for money);1
232;没;méi;not;1
233;没关系;méi guān xi;it’s ok;1
234;没什么;méi shén me;it’s nothing;1
235;没事儿;méi shìr;it’s okay;1
236;没有;méi yǒu;don’t have;1
237;妹妹;mèi mei;younger sister;1
238;门;mén;door;1
239;门口;mén kǒu;entrance;1
240;门票;mén piào;tickets;1
241;朋友们;péng you men;friends;1
242;米饭;mǐ fàn;rice;1
243;面包;miàn bāo;bread;1
244;面条儿;miàn tiáor;noodles;1
245;名字;míng zi;first name;1
246;明白;míng bai;understand;1
247;明年;míng nián;next year;1
248;明天;míng tiān;tomorrow;1
249;拿;ná;take;1
250;哪;nǎ;which;1
251;哪里;nǎ lǐ;where;1
252;哪儿;nǎr;where;1
253;哪些;nǎ xiē;which;1
254;那;nà;that;1
255;那边;nà biān;over there;1
256;那里;nà lǐ;there;1
257;那儿;nàr;there;1
258;那些;nà xiē;those;1
259;奶;nǎi;milk;1
260;奶奶;nǎi nai;grandmother;1
261;男;nán;male;1
262;男孩儿;nán háir;boy;1
263;男朋友;nán péng you;boyfriend;1
264;男人;nán rén;man;1
265;男生;nán shēng;school boy;1
266;南;nán;south;1
267;南边;nán bian;south side;1
268;难;nán;difficult;1
269;呢;ne;what;1
270;能;néng;can;1
271;你;nǐ;you;1
272;你们;nǐ men;you guys;1
273;年;nián;year;1
274;您;nín;you;1
275;牛奶;niú nǎi;cow milk;1
276;女;nǚ;female;1
277;女儿;nǚ’ér;daughter;1
278;女孩儿;nǚ háir;girl;1
279;女朋友;nǚ péng you;girlfriend;1
280;女人;nǚ rén;woman;1
281;女生;nǚ shēng;schoolgirl;1
282;旁边;páng biān;next to;1
283;跑;pǎo;run;1
284;朋友;péng you;friend;1
285;票;piào;ticket;1
286;七;qī;seven;1
287;起;qǐ;up;1
288;起床;qǐ chuáng;get up;1
289;起来;qǐ lái;stand up;1
290;汽车;qì chē;car;1
291;前;qián;before;1
292;前边;qián bian;front side;1
293;前天;qián tiān;the day before yesterday;1
294;钱;qián;money;1
295;钱包;qián bāo;wallet;1
296;请;qǐng;please;1
297;请假;qǐng jià;ask for leave;1
298;请进;qǐng jìn;please come in;1
299;请问;qǐng wèn;excuse me;1
300;请坐;qǐng zuò;please sit down;1
301;球;qiú;ball;1
302;去;qù;go;1
303;去年;qù nián;last year;1
304;热;rè;hot;1
305;人;rén;people;1
306;认识;rèn shi;know;1
307;认真;rèn zhēn;serious;1
308;日;rì;day;1
309;日期;rì qī;date;1
310;肉;ròu;meat;1
311;三;sān;three;1
312;山;shān;mountain;1
313;商场;shāng chǎng;mall;1
314;商店;shāng diàn;store;1
315;上;shàng;on;1
