id;char;pinyin;translation;hsk_level
3119;遗传;yí chuán;"heredity; to inherit (a trait); to pass on (to one’s offspring)";4
3120;疑问;yí wèn;"question; interrogation; doubt";4
3121;以及;yǐ jí;"as well as; too; and";4
3122;以内;yǐ nèi;"within; less than";4
3123;一般来说;yī bān lái shuō;generally speaking;4
3124;义务;yì wù;"duty; obligation; volunteer (work etc)";4
3125;议论;yì lùn;"to comment; to talk about; to discuss; discussion";4
3126;引;yǐn;"to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈[zhàng], one-thirtieth of a km or 33.33 meters";4
3127;引导;yǐn dǎo;"to guide; to lead (around); to conduct; to boot; introduction; primer";4
3128;引进;yǐn jìn;"to recommend; to introduce (from outside)";4
3129;引起;yǐn qǐ;"to give rise to; to lead to; to cause; to arouse";4
3130;应;yīng;"to agree (to do sth); should; ought to; must; (legal) shall";4
3131;英勇;yīng yǒng;"heroic; gallant; valiant";4
3132;营业;yíng yè;"to do business; to trade";4
3133;赢得;yíng dé;"to win; to gain";4
3134;影子;yǐng zi;"shadow; reflection; (fig.) hint; indication; influence";4
3135;勇敢;yǒng gǎn;"brave; courageous";4
3136;勇气;yǒng qì;"courage; valor";4
3137;用途;yòng tú;"use; application";4
3138;优良;yōu liáng;"fine; good; first-rate";4
3139;优美;yōu měi;"graceful; fine; elegant";4
3140;优秀;yōu xiù;"outstanding; excellent";4
3141;邮局;yóu jú;post office;4
3142;有劲;yǒu jìn;"to have great strength; vigorous, energetic";4
3143;有趣;yǒu qù;"interesting; fascinating; amusing";4
3144;有限;yǒu xiàn;"limited; finite";4
3145;幼儿园;yòu ér yuán;"kindergarten; nursery school";4
3146;于是;yú shì;"thereupon; as a result; consequently; thus; hence";4
3147;语法;yǔ fǎ;grammar;4
3148;语音;yǔ yīn;"speech sounds; pronunciation; colloquial (rather than literary) pronunciation of a Chinese character; phonetic; audio; voice; (Internet) to voice chat; voice message";4
3149;玉;yù;jade;4
3150;玉米;yù mǐ;"corn; maize";4
3151;预测;yù cè;"to forecast; to predict";4
3152;预订;yù dìng;"to place an order; to book ahead";4
3153;遇;yù;"to meet; to encounter; to treat; to receive; opportunity; chance";4
3154;遇到;yù dào;"to meet; to run into; to come across";4
3155;遇见;yù jiàn;to meet;4
3156;原料;yuán liào;raw material;4
3157;原则;yuán zé;"principle; doctrine";4
3158;圆;yuán;"circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify";4
3159;圆满;yuán mǎn;"satisfactory; consummate; perfect";4
3160;约会;yuē huì;"appointment; engagement; date; to arrange to meet";4
3161;月底;yuè dǐ;end of the month;4
3162;阅读;yuè dú;"to read; reading";4
3163;运动会;yùn dòng huì;sports competition;4
3164;运动员;yùn dòng yuán;athlete;4
3165;运气;yùn qi;luck (good or bad);4
3166;运用;yùn yòng;"to use; to put to use";4
3167;再三;zài sān;"over and over again; again and again";4
3168;在乎;zài hu;"to care about; equivalent of 在於|在于[zài yú]";4
3169;在于;zài yú;"to be in; to lie in; to consist in; to depend on; to rest with";4
3170;赞成;zàn chéng;"to approve; to endorse; (literary) to assist";4
3171;赞赏;zàn shǎng;"to admire; to praise; to appreciate";4
3172;赞助;zàn zhù;"to support; to assist; to sponsor";4
3173;造型;zào xíng;"to model; to shape; appearance; style; design; form; pose";4
3174;战斗;zhàn dòu;"to fight; to engage in combat; struggle; battle";4
3175;战胜;zhàn shèng;"to prevail over; to defeat; to surmount";4
3176;战士;zhàn shì;"fighter; soldier; warrior";4
3177;战争;zhàn zhēng;"war; conflict";4
3178;丈夫;zhàng fu;husband;4
3179;招呼;zhāo hu;"to call out to; to greet; to say hello to; to inform; to take care of; to take care that one does not";4
3180;着;zháo;"to touch; to come in contact with; to feel; to be affected by; to catch fire; to burn; (coll.) to fall asleep; (after a verb) hitting the mark; succeeding in";4
3181;着火;zháo huǒ;"to ignite; to burn";4
3182;着急;zháo jí;"to worry; to feel anxious; Taiwan pr. [zhāo jí]";4
3183;召开;zhào kāi;"to convene (a conference or meeting); to convoke; to call together";4
3184;折;zhé;"to break; to fracture; to snap; to suffer loss; to bend; to twist; to turn; to change direction; convinced; to convert into (currency); discount; rebate; tenth (in price); classifier for theatrical scenes; to fold; accounts book";4
3185;针;zhēn;"needle; pin; injection; stitch";4
3186;针对;zhēn duì;"to target; to focus on; to be aimed at or against; in response to";4
3187;阵;zhèn;"disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration";4
3188;争论;zhēng lùn;"to argue; to debate; to contend; argument; contention; controversy; debate";4
3189;征服;zhēng fú;"to conquer; to subdue; to vanquish";4
3190;征求;zhēng qiú;"to solicit; to seek; to request (opinions, feedback etc); to petition";4
3191;政府;zhèng fǔ;government;4
3192;政治;zhèng zhì;"politics; political";4
3193;之后;zhī hòu;"afterwards; following; later; after";4
3194;之间;zhī jiān;"between; among; inter-";4
3195;之前;zhī qián;"before; prior to; ago; previously; beforehand";4
3196;之一;zhī yī;"one of (sth); one out of a multitude; one (third, quarter, percent etc)";4
3197;支;zhī;"to support; to sustain; to erect; to raise; branch; division; to draw money; classifier for rods such as pens and guns, for army divisions and for songs or compositions";4
3198;植物;zhí wù;"plant; vegetation";4
3199;指挥;zhǐ huī;"to conduct; to command; to direct; conductor (of an orchestra)";4
3200;制订;zhì dìng;"to work out; to formulate";4
3201;质量;zhì liàng;"quality; (physics) mass";4
3202;治;zhì;"to rule; to govern; to manage; to control; to harness (a river); to treat (a disease); to wipe out (a pest); to punish; to research";4
3203;治疗;zhì liáo;"to treat (an illness); medical treatment; therapy";4
3204;智力;zhì lì;"intelligence; intellect";4
3205;智能;zhì néng;"intelligent; able; smart (phone, system, bomb etc)";4
3206;中介;zhōng jiè;"to act as intermediary; to link; intermediate; inter-; agency; agent";4
3207;种类;zhǒng lèi;"kind; genus; type; category; variety; species; sort; class";4
3208;中奖;zhòng jiǎng;"to win a prize; a successful gamble";4
3209;种;zhòng;"to plant; to grow; to cultivate";4
3210;种植;zhòng zhí;"to plant; to grow";4
3211;重量;zhòng liàng;weight;4
3212;逐步;zhú bù;"progressively; step by step";4
3213;逐渐;zhú jiàn;gradually;4
3214;主题;zhǔ tí;"theme; subject";4
3215;主席;zhǔ xí;"chairperson; premier; chairman";4
3216;祝福;zhù fú;"blessings; to wish sb well";4
3217;著名;zhù míng;"famous; noted; well-known; celebrated";4
3218;著作;zhù zuò;"to write; literary work; book; article; writings";4
3219;抓紧;zhuā jǐn;"to grasp firmly; to pay special attention to; to rush in; to make the most of";4
3220;专心;zhuān xīn;"to concentrate; absorption; concentration; engrossed";4
3221;转动;zhuǎn dòng;"to turn sth around; to swivel";4
3222;转告;zhuǎn gào;"to pass on; to communicate; to transmit";4
3223;转身;zhuǎn shēn;"(of a person) to turn round; to face about; (of a widow) to remarry (archaic)";4
3224;转弯;zhuǎn wān;"to turn; to go around a corner";4
3225;转移;zhuǎn yí;"to shift; to divert or distract (attention etc); to change; to transform; metastasis (medicine); to evacuate (people)";4
3226;装修;zhuāng xiū;"to decorate; interior decoration; to fit up; to renovate";4
3227;装置;zhuāng zhì;"to install; installation; equipment; system; unit; device";4
3228;追求;zhuī qiú;"to pursue (a goal etc) stubbornly; to seek after; to woo";4
3229;准时;zhǔn shí;"on time; punctual; on schedule";4
3230;资料;zī liào;"material; resources; data; information; profile (Internet)";4
3231;资源;zī yuán;"natural resource (such as water or minerals); resource (such as manpower or tourism)";4
3232;自;zì;"self; oneself; from; since; naturally; surely";4
3233;自信;zì xìn;"to have confidence in oneself; self-confidence";4
3234;字母;zì mǔ;letter (of the alphabet);4
3235;综合;zōng hé;"comprehensive; composite; synthesized; mixed; to sum up; to integrate; to synthesize";4
3236;总共;zǒng gòng;"altogether; in sum; in all; in total";4
3237;总理;zǒng lǐ;"premier; prime minister";4
3238;总统;zǒng tǒng;president (of a country);4
3239;总之;zǒng zhī;"in a word; in short; in brief";4
3240;阻止;zǔ zhǐ;"to prevent; to block";4
3241;嘴巴;zuǐ ba;"mouth; slap in the face";4
3242;最初;zuì chū;"first; primary; initial; original; at first; initially; originally";4
3243;作出;zuò chū;"to put out; to come up with; to make (a choice, decision, proposal, response, comment etc); to issue (a permit, statement, explanation, apology, reassurance to the public etc); to draw (conclusion); to deliver (speech, judgment); to devise (explanation); to extract";4
3244;作为;zuò wéi;"one’s conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be";4
3245;做梦;zuò mèng;"to dream; to have a dream; fig. illusion; fantasy; pipe dream";4
3246;安慰;ān wèi;"to comfort; to console";5
3247;岸;àn;"bank; shore; beach; coast";5
3248;岸上;àn shang;"ashore; on the riverbank";5
3249;按摩;àn mó;"massage; to massage";5
3250;拔;bá;"to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize";5
3251;白酒;bái jiǔ;baijiu, a spirit usually distilled from sorghum;5
3252;拜访;bài fǎng;"to pay a visit; to call on";5
3253;版;bǎn;"a register; block of printing; edition; version; page";5
3254;扮演;bàn yǎn;"to play the role of; to act";5
3255;棒;bàng;"stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race";5
3256;包围;bāo wéi;"to surround; to encircle; to hem in";5
3257;包装;bāo zhuāng;"to pack; to package; to wrap; packaging";5
3258;保卫;bǎo wèi;"to defend; to safeguard";5
3259;保养;bǎo yǎng;"to take good care of (or conserve) one’s health; to keep in good repair; to maintain; maintenance";5
3260;报答;bào dá;"to repay; to requite";5
3261;报警;bào jǐng;"to sound an alarm; to report sth to the police";5
3262;抱怨;bào yuàn;"to complain; to grumble; to harbor a complaint; to feel dissatisfied";5
3263;背包;bēi bāo;"knapsack; rucksack; infantry pack; field pack; blanket roll";5
3264;悲剧;bēi jù;tragedy;5
3265;悲伤;bēi shāng;"sad; sorrowful";5
3266;北极;běi jí;"the North Pole; the Arctic Pole; the north magnetic pole";5
3267;被动;bèi dòng;passive;5
3268;辈;bèi;"lifetime; generation; group of people; class; classifier for generations; (literary) classifier for people";5
3269;本人;běn rén;"the person himself; I (humble form used in speeches); oneself; myself; in person; personal";5
3270;鼻子;bí zi;nose;5
3271;比方;bǐ fang;"analogy; instance; for instance";5
3272;比重;bǐ zhòng;"proportion; specific gravity";5
3273;彼此;bǐ cǐ;"each other; one another";5
3274;必;bì;"certainly; must; will; necessarily";5
3275;必需;bì xū;"to need; to require; essential; indispensable";5
3276;毕竟;bì jìng;"after all; all in all; when all is said and done; in the final analysis";5
3277;闭幕;bì mù;"the curtain falls; lower the curtain; to come to an end (of a meeting)";5
3278;闭幕式;bì mù shì;closing ceremony;5
3279;边境;biān jìng;"frontier; border";5
3280;编辑;biān jí;"to edit; to compile; editor; compiler";5
3281;编辑;biān jí;"to edit; to compile; editor; compiler";5
3282;变动;biàn dòng;"to change; to fluctuate; change; fluctuation";5
3283;便利;biàn lì;"convenient; easy; to facilitate";5
3284;便条;biàn tiáo;(informal) note;5
3285;便于;biàn yú;"easy to; convenient for";5
3286;宾馆;bīn guǎn;"guesthouse; lodge; hotel";5
3287;饼;bǐng;"round flat cake; cookie; cake; pastry";5
3288;饼干;bǐng gān;"biscuit; cracker; cookie";5
3289;病毒;bìng dú;virus;5
3290;玻璃;bō li;"glass; (slang) male homosexual";5
3291;博客;bó kè;"blog (loanword); weblog; blogger";5
3292;博览会;bó lǎn huì;"exposition; international fair";5
3293;博士;bó shì;"doctor; court academician (in feudal China); Ph.D.";5
3294;博物馆;bó wù guǎn;museum;5
3295;薄弱;bó ruò;"weak; frail";5
3296;不顾;bú gù;"in spite of; regardless of";5
3297;不利;bú lì;"unfavorable; disadvantageous; harmful; detrimental";5
3298;不耐烦;bú nài fán;"impatience; impatient";5
3299;不幸;bú xìng;"misfortune; adversity; unfortunate; sad; unfortunately";5
3300;不易;bú yì;"not easy to do sth; difficult; unchanging";5
3301;补偿;bǔ cháng;"to compensate; to make up";5
3302;补贴;bǔ tiē;"to subsidize; subsidy; allowance; to supplement (one’s salary etc); benefit";5
3303;不曾;bù céng;"hasn’t yet; hasn’t ever";5
3304;不得了;bù dé liǎo;"desperately serious; disastrous; extremely; exceedingly";5
3305;不敢当;bù gǎn dāng;"lit. I dare not (accept the honor); fig. I don’t deserve your praise; you flatter me";5
3306;不良;bù liáng;"bad; harmful; unhealthy";5
3307;不免;bù miǎn;inevitably;5
3308;不能不;bù néng bù;"have to; cannot but";5
3309;不时;bù shí;"from time to time; now and then; occasionally; frequently";5
3310;不停;bù tíng;incessant;5
3311;不许;bù xǔ;"not to allow; must not; can’t";5
3312;不止;bù zhǐ;"incessantly; without end; more than; not limited to";5
3313;不足;bù zú;"insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not";5
3314;部位;bù wèi;"position; place";5
3315;猜;cāi;to guess;5
3316;猜测;cāi cè;"to guess; to conjecture; to surmise";5
3317;裁判;cái pàn;"judgment; to referee; umpire; judge; referee";5
3318;采购;cǎi gòu;"to procure (for an enterprise etc); to purchase";5
3319;彩票;cǎi piào;lottery ticket;5
3320;餐馆;cān guǎn;restaurant;5
3321;餐厅;cān tīng;"dining hall; dining room; restaurant";5
3322;餐饮;cān yǐn;"food and beverage; catering; repast";5
3323;草原;cǎo yuán;"grassland; prairie";5
3324;册;cè;"book; booklet; classifier for books";5
3325;层次;céng cì;"layer; level; gradation; arrangement of ideas; (a person’s) standing";5
3326;叉;chā;"fork; pitchfork; prong; pick; cross; intersect; “X”";5
3327;叉子;chā zi;fork;5
3328;差别;chā bié;"difference; distinction; disparity";5
3329;差距;chā jù;"disparity; gap";5
3330;插;chā;"to insert; stick in; pierce; to take part in; to interfere; to interpose";5
3331;查询;chá xún;"to check; to inquire; to consult (a document etc); inquiry; query";5
3332;差点儿;chà diǎn r;erhua variant of 差點|差点[chà diǎn];5
3333;拆;chāi;"to tear open; to tear down; to tear apart; to open";5
3334;拆除;chāi chú;"to tear down; to demolish; to dismantle; to remove";5
3335;产业;chǎn yè;"industry; estate; property; industrial";5
3336;长度;cháng dù;length;5
3337;长寿;cháng shòu;"longevity; ability to live long; long lived";5
3338;肠;cháng;intestines;5
3339;尝;cháng;"to taste; to try; to experience; already; ever; once";5
3340;尝试;cháng shì;"to try; to attempt";5
3341;厂长;chǎng zhǎng;factory director;5
3342;场面;chǎng miàn;"scene; spectacle; occasion; situation";5
3343;倡导;chàng dǎo;"to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)";5
3344;超越;chāo yuè;"to surpass; to exceed; to transcend";5
3345;车主;chē zhǔ;vehicle owner;5
3346;称;chēng;"to weigh; to state; to name";5
3347;称号;chēng hào;"name; term of address; title";5
3348;成本;chéng běn;(manufacturing, production etc) costs;5
3349;成交;chéng jiāo;"to complete a contract; to reach a deal";5
3350;成效;chéng xiào;"effect; result";5
3351;成语;chéng yǔ;"Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage";5
3352;承办;chéng bàn;"to undertake; to accept a contract";5
3353;城里;chéng lǐ;in the city;5
3354;乘;chéng;"to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (math.); Buddhist sect or creed";5
3355;乘车;chéng chē;"to ride (in a car or carriage); to drive; to motor";5
3356;乘客;chéng kè;passenger;5
3357;乘坐;chéng zuò;to ride (in a vehicle);5
3358;吃力;chī lì;"to entail strenuous effort; to toil at a task; strenuous; laborious; strain";5
3359;池子;chí zi;"pond; bathhouse pool; dance floor of a ballroom; (old) stalls (front rows in a theater)";5
3360;迟;chí;"late; delayed; slow";5
3361;冲动;chōng dòng;"to have an urge; to be impetuous; impulse; urge";5
3362;冲突;chōng tū;"conflict; to conflict; clash of opposing forces; collision (of interests); contention";5
3363;充足;chōng zú;"adequate; sufficient; abundant";5
3364;愁;chóu;to worry about;5
3365;丑;chǒu;"shameful; ugly; disgraceful";5
3366;臭;chòu;"stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition)";5
3367;出版;chū bǎn;to publish;5
3368;出差;chū chāi;to go on an official or business trip;5
3369;出汗;chū hàn;"to perspire; to sweat";5
3370;出于;chū yú;"due to; to stem from";5
3371;初期;chū qī;"initial stage; beginning period";5
3372;除非;chú fēi;"only if (…, or otherwise, …); only when; only in the case that; unless";5
3373;除夕;chú xī;lunar New Year’s Eve;5
3374;厨房;chú fáng;kitchen;5
3375;处罚;chǔ fá;"to penalize; to punish";5
3376;处分;chǔ fèn;"to discipline sb; to punish; disciplinary action; to deal with (a matter)";5
3377;处在;chǔ zài;"to be situated at; to find oneself at";5
3378;传达;chuán dá;"to pass on; to convey; to relay; to transmit; transmission";5
3379;传递;chuán dì;"to transmit; to pass on to sb else; (math.) transitive";5
3380;传真;chuán zhēn;"fax; facsimile";5
3381;窗帘;chuāng lián;window curtains;5
3382;闯;chuǎng;"to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)";5
3383;创立;chuàng lì;"to establish; to set up; to found";5
3384;辞典;cí diǎn;"dictionary (of Chinese compound words); also written 詞典|词典[cí diǎn]";5
3385;辞职;cí zhí;to resign;5
3386;此后;cǐ hòu;"after this; afterwards; hereafter";5
3387;此刻;cǐ kè;"this moment; now; at present";5
3388;此时;cǐ shí;"now; this moment";5
3389;聪明;cōng ming;"intelligent; clever; bright; smart; acute (of sight and hearing)";5
3390;从而;cóng ér;"thus; thereby";5
3391;从中;cóng zhōng;"from within; therefrom";5
3392;脆;cuì;"brittle; fragile; crisp; crunchy; clear and loud voice; neat";5
3393;存款;cún kuǎn;"to deposit money (in a bank etc); bank savings; bank deposit";5
3394;寸;cùn;"a unit of length; inch; thumb";5
3395;达成;dá chéng;"to reach (an agreement); to accomplish";5
3396;答;dá;"reply; answer; return; respond; echo";5
3397;答复;dá fù;"to answer; to reply; Reply to: (in email header)";5
3398;打;dǎ;"since; from";5
3399;打扮;dǎ ban;"to decorate; to dress; to make up; to adorn; manner of dressing; style of dress";5
3400;打包;dǎ bāo;"to wrap; to pack; to put leftovers in a doggy bag for take-out; to package (computing)";5
3401;打击;dǎ jī;"to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music)";5
3402;打架;dǎ jià;"to fight; to scuffle; to come to blows";5
3403;打扰;dǎ rǎo;"to disturb; to bother; to trouble";5
3404;大胆;dà dǎn;"brazen; audacious; outrageous; bold; daring; fearless";5
3405;大都;dà dōu;"for the most part; on the whole; also pr. [dà dū]";5
3406;大纲;dà gāng;"synopsis; outline; program; leading principles";5
3407;大伙儿;dà huǒ r;erhua variant of 大伙[dà huǒ];5
3408;大奖赛;dà jiǎng sài;grand prix, grand prize contest;5
3409;大脑;dà nǎo;"brain; cerebrum";5
3410;大事;dà shì;"major event; major political event (war or change of regime); major social event (wedding or funeral); (do sth) in a big way";5
3411;大厅;dà tīng;"hall; lounge";5
3412;大象;dà xiàng;elephant;5
3413;大熊猫;dà xióng māo;giant panda (Ailuropoda melanoleuca);5
3414;大于;dà yú;"greater than; bigger than; more than, >";5
3415;大致;dà zhì;"more or less; roughly; approximately";5
3416;呆;dāi;"foolish; stupid; expressionless; blank; to stay";5
3417;待;dāi;to stay;5
3418;代价;dài jià;"price; cost; consideration (in share dealing)";5
3419;代理;dài lǐ;"to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate; (computing) proxy";5
3420;带有;dài yǒu;"to have; to involve";5
3421;贷款;dài kuǎn;"a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)";5
3422;单一;dān yī;"single; only; sole";5
3423;胆;dǎn;"gall bladder; courage; guts; gall; inner container (e.g. bladder of a football, inner container of a thermos)";5
3424;胆小;dǎn xiǎo;"cowardice; timid";5
3425;蛋糕;dàn gāo;cake;5
3426;当场;dāng chǎng;"at the scene; on the spot";5
3427;当代;dāng dài;"the present age; the contemporary era";5
3428;当年;dāng nián;"in those days; then; in those years; during that time";5
3429;当前;dāng qián;"current; today’s; modern; present; to be facing (us)";5
3430;当选;dāng xuǎn;to be elected;5
3431;挡;dǎng;"to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car’s transmission)";5
3432;到来;dào lái;"to arrive; arrival; advent";5
3433;倒是;dào shi;"contrary to what one might expect; actually; contrariwise; why don’t you";5
3434;道德;dào dé;"virtue; morality; ethics";5
3435;得了;dé le;"all right!; that’s enough!";5
3436;得以;dé yǐ;"able to; so that sb can; enabling; in order to; finally in a position to; with sth in view";5
3437;等候;děng hòu;"to wait; to wait for";5
3438;等级;děng jí;"grade; rank; status";5
3439;低于;dī yú;to be lower than;5
3440;地带;dì dài;zone;5
3441;地形;dì xíng;"topography; terrain; landform";5
3442;地震;dì zhèn;earthquake;5
3443;递;dì;"to hand over; to pass on sth; to gradually increase or decrease; progressively";5
3444;递给;dì gěi;to hand it to;5
3445;典礼;diǎn lǐ;"celebration; ceremony";5
3446;点燃;diǎn rán;"to ignite; to set on fire; aflame";5
3447;电池;diàn chí;battery;5
3448;电饭锅;diàn fàn guō;electric rice cooker;5
3449;电子版;diàn zǐ bǎn;electronic edition, digital version;5
3450;调动;diào dòng;"to transfer; to maneuver (troops etc); movement of personnel; to mobilize; to bring into play";5
3451;丢;diū;"to lose; to put aside; to throw";5
3452;动机;dòng jī;"motor; locomotive; motive; motivation; intention";5
3453;动手;dòng shǒu;"to set about (a task); to hit; to punch; to touch";5
3454;动态;dòng tài;"movement; motion; development; trend; dynamic (science)";5
3455;动员;dòng yuán;"to mobilize; to arouse; mobilization";5
3456;冻;dòng;"to freeze; to feel very cold; aspic or jelly";5
3457;洞;dòng;"cave; hole; zero (unambiguous spoken form when spelling out numbers)";5
3458;豆制品;dòu zhì pǐn;soy products;5
3459;毒;dú;"poison; to poison; poisonous; malicious; cruel; fierce; narcotics";5
3460;堆;duī;"to pile up; to heap up; a mass; pile; heap; stack; large amount";5
3461;对立;duì lì;"to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical";5
3462;对应;duì yìng;"to correspond; a correspondence; corresponding; homologous; matching with sth; counterpart";5
3463;吨;dūn;"ton (loanword); Taiwan pr. [dùn]";5
3464;朵;duǒ;"flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc";5
3465;躲;duǒ;"to hide; to dodge; to avoid";5
3466;儿女;ér nǚ;"children; sons and daughters";5
3467;耳朵;ěr duo;"ear; handle (on a cup)";5
3468;二维码;èr wéi mǎ;"two-dimensional barcode; QR code";5
3469;发布;fā bù;"to release; to issue; to announce; to distribute";5
3470;发觉;fā jué;"to become aware; to detect; to realize; to perceive";5
3471;发射;fā shè;"to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission";5
3472;发行;fā xíng;"to publish; to issue (stocks, currency etc); to release; to distribute (a film)";5
3473;罚;fá;"to punish; to penalize";5
3474;罚款;fá kuǎn;"to fine; penalty; fine (monetary)";5
3475;法规;fǎ guī;"legislation; statute";5
3476;法制;fǎ zhì;legal system and institutions;5
3477;繁荣;fán róng;"prosperous; booming (economy)";5
3478;返回;fǎn huí;"to return to; to come (or go) back";5
3479;防治;fáng zhì;"to prevent and cure; prevention and cure";5
3480;放大;fàng dà;"to enlarge; to magnify";5
3481;放弃;fàng qì;"to renounce; to abandon; to give up";5
3482;分成;fēn chéng;"to divide (into); to split a bonus; to break into; tenths; percentage allotment";5
3483;分解;fēn jiě;"to resolve; to decompose; to break down";5
3484;分类;fēn lèi;classification;5
3485;分离;fēn lí;to separate;5
3486;分析;fēn xī;"to analyze; analysis";5
3487;分享;fēn xiǎng;to share (let others have some of sth good);5
3488;丰收;fēng shōu;bumper harvest;5
3489;风度;fēng dù;"elegance (for men); elegant demeanor; grace; poise";5
3490;风光;fēng guāng;"scene; view; sight; landscape; to be well-regarded; to be well-off; grand (dialect); impressive (dialect)";5
3491;封;fēng;"to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters";5
3492;疯;fēng;"insane; mad; wild";5
3493;疯狂;fēng kuáng;"crazy; frantic; extreme popularity";5
3494;扶;fú;"to support with the hand; to help sb up; to support oneself by holding onto something; to help";5
3495;服从;fú cóng;"to obey (an order); to comply; to defer";5
3496;幅;fú;"width; roll; classifier for textiles or pictures";5
3497;幅度;fú dù;"width; extent; range; scope";5
3498;福利;fú lì;"material benefit; benefit in kind; (social) welfare";5
3499;辅助;fǔ zhù;"to assist; to aid; supplementary; auxiliary; subsidiary";5
3500;负责人;fù zé rén;person in charge;5
3501;附件;fù jiàn;"enclosure; attachment (email); appendix";5
3502;改革;gǎi gé;"reform; to reform";5
3503;干脆;gān cuì;"straightforward; clear-cut; blunt (e.g. statement); you might as well; simply";5
3504;干扰;gān rǎo;"to disturb; to interfere; perturbation; interference (physics)";5
3505;干预;gān yù;"to meddle; to intervene; intervention";5
3506;感想;gǎn xiǎng;"impressions; reflections; thoughts";5
3507;钢笔;gāng bǐ;fountain pen;5
3508;钢琴;gāng qín;piano;5
3509;高大;gāo dà;"tall; lofty";5
3510;高度;gāo dù;"height; altitude; elevation; high degree; highly";5
3511;高跟鞋;gāo gēn xié;high-heeled shoes;5
3512;高温;gāo wēn;high temperature;5
3513;高于;gāo yú;"greater than; to exceed";5
3514;高原;gāo yuán;plateau;5
3515;搞;gǎo;"to do; to make; to go in for; to set up; to get hold of; to take care of";5
3516;搞好;gǎo hǎo;"to do well at; to do a good job";5
3517;歌曲;gē qǔ;song;5
3518;隔壁;gé bì;"next door; neighbor";5
3519;个儿;gè r;"size; height; stature";5
3520;跟前;gēn qián;"the front (of); (in) front; (in) sb’s presence; just before (a date)";5
3521;跟随;gēn suí;to follow;5
3522;更换;gēng huàn;"to replace (a worn-out tire etc); to change (one’s address etc)";5
3523;更新;gēng xīn;"to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate";5
3524;工艺;gōng yì;"arts and crafts; industrial arts";5
3525;工作日;gōng zuò rì;"workday; working day; weekday";5
3526;公告;gōng gào;"post; announcement";5
3527;公认;gōng rèn;"publicly known (to be); accepted (as)";5
3528;公式;gōng shì;formula;5
3529;公正;gōng zhèng;"just; fair; equitable";5
3530;共计;gòng jì;"to sum up to; to total";5
3531;共享;gòng xiǎng;"to share; to enjoy together";5
3532;沟;gōu;"ditch; gutter; groove; gully; ravine";5
3533;沟通;gōu tōng;"to join; to connect; to link up; to communicate";5
3534;估计;gū jì;"to estimate; to reckon; (coll.) to suppose";5
3535;古老;gǔ lǎo;"ancient; old; age-old";5
3536;鼓;gǔ;"drum; to drum; to strike; to rouse; to bulge; to swell";5
3537;鼓励;gǔ lì;to encourage;5
3538;鼓掌;gǔ zhǎng;"to applaud; to clap";5
3539;顾问;gù wèn;"adviser; consultant";5
3540;怪;guài;"to wonder at; to blame";5
3541;关怀;guān huái;"care; solicitude; to show care for; concerned about; attentive to";5
3542;关键;guān jiàn;"crucial point; crux; key; crucial; pivotal";5
3543;冠军;guàn jūn;champion;5
3544;光荣;guāng róng;"honor and glory; glorious";5
3545;光线;guāng xiàn;"light ray; light; illumination; lighting (for a photograph)";5
3546;广;guǎng;"wide; numerous; to spread";5
3547;广泛;guǎng fàn;"extensive; wide range";5
3548;规划;guī huà;"to plan (how to do sth); planning; plan; program";5
3549;鬼;guǐ;"ghost; demon; terrible; damnable; clever; sly; crafty; (suffix for sb with a certain vice or addiction etc)";5
3550;柜子;guì zi;"cupboard; cabinet";5
3551;滚;gǔn;"to boil; to roll; to take a hike; Get lost!";5
3552;锅;guō;"pot; pan; boiler";5
3553;国籍;guó jí;nationality;5
3554;国民;guó mín;"nationals; citizens; people of a nation";5
3555;过度;guò dù;"excessive; over-; excess; going too far; extravagant; intemperate; overdue";5
